Name of Song,Group,Gender,Duration (MS),Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
잠에 취해,Brown Eyed Girls,F,228075.0,5.0,1.0,4.0,0.229,0.618,0.792,0.0,0.132,-3.745,0.029,0.412,105.031,6.0
Abracadabra Fraktal Voodoo Remix Version,Brown Eyed Girls,F,197042.0,5.0,1.0,4.0,0.00809,0.694,0.996,0.00294,0.357,-3.506,0.0495,0.52,132.057,5.0
Sign Junjaman Remix Version,Brown Eyed Girls,F,205244.0,1.0,0.0,4.0,0.0456,0.68,0.927,0.00212,0.162,-4.235,0.0331,0.931,133.939,2.0
잠에취해 Instrumental,Brown Eyed Girls,F,228075.0,5.0,1.0,4.0,0.0131,0.561,0.812,0.602,0.13,-7.588,0.0235,0.308,104.981,1.0
My Style,Brown Eyed Girls,F,238158.0,7.0,1.0,4.0,0.0821,0.744,0.774,7.15e-06,0.203,-4.871,0.0275,0.879,133.968,22.0
다시는 사랑 안할래 Unplugged Version,Brown Eyed Girls,F,234762.0,5.0,1.0,4.0,0.489,0.646,0.66,0.0,0.246,-5.733,0.049,0.308,91.902,5.0
My Style 곡 받은 날,Brown Eyed Girls,F,197486.0,7.0,1.0,4.0,0.737,0.744,0.438,0.0,0.645,-10.133,0.0866,0.46,109.002,5.0
You,Brown Eyed Girls,F,210651.0,7.0,1.0,4.0,0.125,0.756,0.869,0.0,0.0955,-4.847,0.0807,0.927,89.934,9.0
어쩌다,Brown Eyed Girls,F,203703.0,0.0,1.0,4.0,0.0758,0.868,0.894,0.0,0.63,-3.387,0.0419,0.653,129.96,14.0
겨우,Brown Eyed Girls,F,210782.0,5.0,1.0,4.0,0.222,0.741,0.856,0.0,0.104,-6.321,0.138,0.675,117.994,8.0
다시는 사랑 안할래,Brown Eyed Girls,F,230583.0,5.0,1.0,4.0,0.625,0.657,0.685,3.12e-06,0.321,-6.895,0.0554,0.633,91.937,3.0
어쩌다 Instrumental,Brown Eyed Girls,F,204617.0,0.0,1.0,4.0,0.0232,0.887,0.885,0.0,0.629,-4.598,0.0337,0.719,129.988,1.0
다시는 사랑 안할래 Instrumental,Brown Eyed Girls,F,230348.0,5.0,1.0,4.0,0.524,0.658,0.619,0.634,0.324,-8.944,0.0402,0.674,92.014,1.0
Baby Don't Play,Wonder Girls,F,211973.0,1.0,1.0,4.0,0.0442,0.733,0.89,0.0,0.131,-2.348,0.0372,0.825,106.965,34.0
Candle (feat. Paloalto),Wonder Girls,F,224467.0,4.0,0.0,4.0,0.0352,0.738,0.916,0.0,0.0566,-2.603,0.0715,0.473,115.982,31.0
I Feel You,Wonder Girls,F,205373.0,10.0,1.0,4.0,0.0256,0.491,0.897,3.5e-06,0.064,-3.912,0.0544,0.533,118.771,45.0
Rewind,Wonder Girls,F,213480.0,1.0,1.0,4.0,0.576,0.716,0.886,0.0,0.322,-3.658,0.0327,0.461,105.017,39.0
Loved,Wonder Girls,F,219413.0,1.0,0.0,4.0,0.0872,0.581,0.982,1.71e-05,0.38,-3.587,0.0531,0.73,116.025,31.0
John Doe,Wonder Girls,F,191707.0,4.0,0.0,4.0,0.174,0.714,0.854,0.0,0.0921,-2.837,0.0572,0.647,123.981,29.0
One Black Night,Wonder Girls,F,226213.0,9.0,1.0,4.0,0.146,0.61,0.838,0.0,0.0516,-3.414,0.08,0.585,131.986,31.0
Back,Wonder Girls,F,208747.0,11.0,0.0,4.0,0.0808,0.859,0.924,0.0,0.127,-2.436,0.251,0.801,112.081,25.0
OPPA 오빠,Wonder Girls,F,213387.0,11.0,0.0,4.0,0.0309,0.799,0.905,0.0,0.292,-3.62,0.165,0.814,133.982,27.0
사랑이 떠나려 할 때 Faded Love,Wonder Girls,F,233307.0,3.0,0.0,4.0,0.294,0.438,0.831,7.04e-06,0.433,-4.702,0.0433,0.635,194.05,31.0
없어 GONE,Wonder Girls,F,221467.0,4.0,0.0,4.0,0.287,0.381,0.903,0.0,0.272,-3.989,0.159,0.623,71.574,27.0
이 순간 Remember,Wonder Girls,F,225413.0,6.0,1.0,4.0,0.186,0.476,0.466,0.0,0.0834,-5.516,0.0252,0.0461,75.954,25.0
Baby Don't Play,Wonder Girls,F,211973.0,1.0,1.0,4.0,0.0442,0.733,0.89,0.0,0.131,-2.348,0.0372,0.825,106.965,12.0
Candle (Feat. Paloalto),Wonder Girls,F,224467.0,4.0,0.0,4.0,0.0352,0.738,0.916,0.0,0.0566,-2.603,0.0715,0.473,115.982,9.0
I Feel You,Wonder Girls,F,205373.0,10.0,1.0,4.0,0.0256,0.491,0.897,3.5e-06,0.064,-3.912,0.0544,0.533,118.771,24.0
Rewind,Wonder Girls,F,213480.0,1.0,1.0,4.0,0.576,0.716,0.886,0.0,0.322,-3.658,0.0327,0.461,105.017,16.0
Loved,Wonder Girls,F,219413.0,1.0,0.0,4.0,0.0872,0.581,0.982,1.71e-05,0.38,-3.587,0.0531,0.73,116.023,8.0
John Doe,Wonder Girls,F,191707.0,4.0,0.0,4.0,0.174,0.714,0.854,0.0,0.0921,-2.837,0.0572,0.647,123.981,7.0
One Black Night,Wonder Girls,F,226213.0,9.0,1.0,4.0,0.146,0.61,0.838,0.0,0.0516,-3.414,0.08,0.585,131.986,8.0
Back,Wonder Girls,F,208747.0,11.0,0.0,4.0,0.0808,0.859,0.924,0.0,0.127,-2.436,0.251,0.801,112.081,6.0
OPPA 오빠,Wonder Girls,F,213387.0,11.0,0.0,4.0,0.0309,0.799,0.905,0.0,0.292,-3.62,0.165,0.814,133.982,7.0
사랑이 떠나려 할 때 Faded Love,Wonder Girls,F,233307.0,3.0,0.0,4.0,0.294,0.438,0.831,7.04e-06,0.433,-4.702,0.0433,0.635,194.05,8.0
없어 GONE,Wonder Girls,F,221467.0,4.0,0.0,4.0,0.287,0.381,0.903,0.0,0.272,-3.989,0.159,0.623,71.574,6.0
이 순간 Remember,Wonder Girls,F,225413.0,6.0,1.0,4.0,0.186,0.476,0.466,0.0,0.0834,-5.516,0.0252,0.0461,75.955,6.0
G.N.O,Wonder Girls,F,212027.0,8.0,0.0,4.0,0.12,0.705,0.831,0.0,0.0808,-3.063,0.18,0.909,135.91,4.0
Be My Baby,Wonder Girls,F,213613.0,1.0,1.0,4.0,0.0938,0.619,0.854,0.0,0.386,-4.949,0.0688,0.418,165.039,27.0
Girls Girls,Wonder Girls,F,215760.0,1.0,1.0,4.0,0.0182,0.663,0.86,0.0,0.055,-2.979,0.0761,0.712,90.002,8.0
"Me, In",Wonder Girls,F,195920.0,0.0,1.0,4.0,0.202,0.728,0.858,4.59e-06,0.186,-3.746,0.136,0.748,103.034,3.0
Sweet Dreams,Wonder Girls,F,216027.0,0.0,1.0,4.0,0.0207,0.668,0.9,0.0,0.277,-3.697,0.0691,0.951,127.977,1.0
Stop!,Wonder Girls,F,204240.0,1.0,0.0,4.0,0.000728,0.606,0.921,0.00015,0.157,-3.97,0.0643,0.611,127.976,2.0
Dear. Boy,Wonder Girls,F,193067.0,1.0,0.0,4.0,0.196,0.54,0.684,0.0,0.181,-6.674,0.266,0.466,111.921,2.0
Du Go Du Go,Wonder Girls,F,228293.0,1.0,0.0,3.0,0.565,0.66,0.618,3.56e-06,0.231,-6.294,0.072,0.57,123.801,2.0
SuperB,Wonder Girls,F,201680.0,7.0,1.0,4.0,0.0137,0.809,0.86,3.36e-06,0.284,-3.915,0.146,0.581,122.988,0.0
Act Cool,Wonder Girls,F,215160.0,4.0,0.0,4.0,0.00566,0.818,0.691,0.00195,0.269,-6.052,0.294,0.386,97.982,1.0
Be My Baby - Ra.D Mix,Wonder Girls,F,209600.0,5.0,1.0,4.0,0.0916,0.638,0.774,1.78e-06,0.0992,-3.153,0.109,0.59,82.701,2.0
Nu Shoes,Wonder Girls,F,209027.0,10.0,0.0,4.0,0.0127,0.666,0.915,8.23e-05,0.216,-5.984,0.0686,0.75,152.994,1.0
G.N.O.,Wonder Girls,F,210375.0,8.0,0.0,4.0,0.121,0.703,0.888,0.0,0.0523,-0.191,0.158,0.901,135.916,25.0
Be My Baby,Wonder Girls,F,211812.0,1.0,1.0,4.0,0.105,0.62,0.829,0.0,0.337,-5.511,0.069,0.431,165.027,45.0
Girls Girls,Wonder Girls,F,213954.0,1.0,1.0,4.0,0.0179,0.629,0.881,0.0,0.0905,-2.248,0.0875,0.723,90.021,27.0
"Me,In",Wonder Girls,F,194124.0,0.0,1.0,4.0,0.205,0.732,0.874,2.4e-06,0.191,-2.941,0.138,0.757,102.992,24.0
Sweet Dreams,Wonder Girls,F,214223.0,0.0,1.0,4.0,0.0262,0.672,0.914,1.11e-06,0.39,-2.8,0.0675,0.96,127.973,19.0
Stop!,Wonder Girls,F,204240.0,1.0,0.0,4.0,0.000771,0.607,0.923,0.000138,0.147,-3.974,0.0762,0.63,127.988,22.0
Dear Boy,Wonder Girls,F,191265.0,1.0,0.0,4.0,0.207,0.536,0.686,0.0,0.215,-6.751,0.293,0.459,111.971,20.0
Do Go Do Go,Wonder Girls,F,226488.0,1.0,0.0,3.0,0.542,0.697,0.625,4.58e-06,0.228,-6.296,0.0599,0.627,123.934,21.0
Super B,Wonder Girls,F,199878.0,7.0,1.0,4.0,0.0156,0.797,0.865,4.95e-06,0.448,-3.825,0.149,0.585,123.006,17.0
Act Cool,Wonder Girls,F,214880.0,4.0,0.0,4.0,0.00588,0.811,0.695,0.00175,0.237,-6.114,0.307,0.429,97.991,17.0
Be My Baby - Ra.D mix,Wonder Girls,F,207805.0,5.0,1.0,4.0,0.109,0.616,0.795,1.32e-06,0.091,-3.197,0.129,0.619,82.666,15.0
Nu Shoes,Wonder Girls,F,209010.0,10.0,0.0,4.0,0.0161,0.669,0.924,1.49e-05,0.244,-5.606,0.0562,0.752,152.98,19.0
Be My Baby - Eng Ver,Wonder Girls,F,212296.0,1.0,1.0,4.0,0.0873,0.659,0.813,0.0,0.355,-5.6,0.0577,0.449,164.996,24.0
G.N.O.,Wonder Girls,F,210375.0,8.0,0.0,4.0,0.121,0.703,0.888,0.0,0.0523,-0.191,0.158,0.901,135.916,9.0
Be My Baby,Wonder Girls,F,211812.0,1.0,1.0,4.0,0.105,0.62,0.829,0.0,0.337,-5.511,0.069,0.431,165.025,32.0
Girls Girls,Wonder Girls,F,213954.0,1.0,1.0,4.0,0.0179,0.629,0.881,0.0,0.0905,-2.248,0.0875,0.723,90.021,11.0
"Me,In",Wonder Girls,F,194124.0,0.0,1.0,4.0,0.205,0.732,0.874,2.4e-06,0.191,-2.941,0.138,0.757,102.992,8.0
Sweet Dreams,Wonder Girls,F,214223.0,0.0,1.0,4.0,0.0262,0.672,0.914,1.11e-06,0.39,-2.8,0.0675,0.96,127.973,7.0
Stop!,Wonder Girls,F,204240.0,1.0,0.0,4.0,0.000771,0.607,0.923,0.000138,0.147,-3.974,0.0762,0.63,127.988,6.0
Dear Boy,Wonder Girls,F,191265.0,1.0,0.0,4.0,0.207,0.536,0.686,0.0,0.215,-6.751,0.293,0.459,111.971,6.0
Do Go Do Go,Wonder Girls,F,226488.0,1.0,0.0,3.0,0.542,0.697,0.625,4.58e-06,0.228,-6.296,0.0599,0.627,123.934,7.0
Super B,Wonder Girls,F,199878.0,7.0,1.0,4.0,0.0156,0.797,0.865,4.95e-06,0.448,-3.825,0.149,0.585,123.006,6.0
Act Cool (Feat. San E),Wonder Girls,F,214880.0,4.0,0.0,4.0,0.00588,0.811,0.695,0.00175,0.237,-6.114,0.307,0.429,97.991,6.0
Be My Baby - Ra.D Mix,Wonder Girls,F,207805.0,5.0,1.0,4.0,0.109,0.616,0.795,1.32e-06,0.091,-3.197,0.129,0.619,82.666,8.0
Nu Shoes,Wonder Girls,F,209010.0,10.0,0.0,4.0,0.0161,0.669,0.924,1.49e-05,0.244,-5.606,0.0562,0.752,152.98,6.0
Be My Baby - English Version,Wonder Girls,F,212296.0,1.0,1.0,4.0,0.0873,0.659,0.813,0.0,0.355,-5.6,0.0577,0.449,164.996,13.0
2 Different Tears,Wonder Girls,F,204080.0,8.0,0.0,4.0,0.0969,0.796,0.697,3.83e-05,0.0914,-6.363,0.0402,0.745,124.025,6.0
So Hot,Wonder Girls,F,182253.0,1.0,0.0,4.0,0.0381,0.906,0.608,0.000333,0.0407,-7.097,0.0496,0.96,140.046,6.0
Tell Me,Wonder Girls,F,219453.0,6.0,0.0,4.0,0.105,0.814,0.93,0.00019,0.294,-5.128,0.0364,0.963,127.002,23.0
Nobody,Wonder Girls,F,214773.0,11.0,1.0,4.0,0.161,0.901,0.74,1.35e-06,0.155,-5.108,0.0751,0.946,130.971,31.0
2 Different Tears - Remix,Wonder Girls,F,220840.0,8.0,0.0,4.0,0.0295,0.787,0.632,0.000218,0.117,-5.933,0.0405,0.539,123.997,5.0
Nobody - Rainstone Remix,Wonder Girls,F,273720.0,1.0,1.0,4.0,0.109,0.922,0.495,4.28e-06,0.087,-8.642,0.0623,0.52,91.981,17.0
Nobody - Jason Nevins Remix,Wonder Girls,F,214787.0,10.0,0.0,4.0,0.0376,0.853,0.73,5.9e-05,0.424,-6.122,0.0947,0.677,131.053,8.0
2 Different Tears - Korean,Wonder Girls,F,204067.0,1.0,1.0,4.0,0.0791,0.772,0.654,0.000493,0.106,-6.373,0.0387,0.726,124.03,9.0
2 Different Tears - Chinese,Wonder Girls,F,203760.0,1.0,1.0,4.0,0.112,0.809,0.67,1.18e-05,0.0877,-6.432,0.0408,0.768,124.014,4.0
2 Different Tears - Karaoke,Wonder Girls,F,203773.0,8.0,0.0,4.0,0.0604,0.781,0.703,0.241,0.11,-7.857,0.0477,0.575,124.011,4.0
2 Different Tears - Instrumental,Wonder Girls,F,201773.0,1.0,1.0,4.0,0.0285,0.8,0.696,0.945,0.12,-8.669,0.061,0.502,124.017,4.0
2 Different Tears,Wonder Girls,F,204080.0,8.0,0.0,4.0,0.0969,0.796,0.697,3.83e-05,0.0914,-6.363,0.0402,0.745,124.025,29.0
So Hot,Wonder Girls,F,182253.0,1.0,0.0,4.0,0.0381,0.906,0.608,0.000333,0.0407,-7.097,0.0496,0.96,140.046,25.0
Tell Me,Wonder Girls,F,219453.0,6.0,0.0,4.0,0.105,0.814,0.93,0.00019,0.294,-5.128,0.0364,0.963,127.002,44.0
Nobody,Wonder Girls,F,214773.0,11.0,1.0,4.0,0.161,0.901,0.74,1.35e-06,0.155,-5.108,0.0751,0.946,130.971,53.0
2 Different Tears - Remix,Wonder Girls,F,220840.0,8.0,0.0,4.0,0.0295,0.787,0.632,0.000218,0.117,-5.933,0.0405,0.539,123.997,16.0
Nobody - Rainstone Remix,Wonder Girls,F,271960.0,6.0,1.0,4.0,0.216,0.91,0.449,5.75e-05,0.0972,-9.127,0.0678,0.516,91.99,24.0
Nobody - Jason Nevins Remix,Wonder Girls,F,214787.0,10.0,0.0,4.0,0.0376,0.853,0.73,5.9e-05,0.424,-6.122,0.0947,0.677,131.053,15.0
2 Different Tears - Korean,Wonder Girls,F,204067.0,1.0,1.0,4.0,0.0791,0.772,0.654,0.000493,0.106,-6.373,0.0387,0.726,124.03,26.0
2 Different Tears - Chinese,Wonder Girls,F,203760.0,1.0,1.0,4.0,0.112,0.809,0.67,1.18e-05,0.0877,-6.432,0.0408,0.768,124.014,13.0
2 Different Tears - Karaoke,Wonder Girls,F,203773.0,8.0,0.0,4.0,0.0604,0.781,0.703,0.241,0.11,-7.857,0.0477,0.575,124.011,11.0
2 Different Tears - Instrumental,Wonder Girls,F,201773.0,1.0,1.0,4.0,0.0285,0.8,0.696,0.945,0.12,-8.669,0.061,0.502,124.017,10.0
Intro,Wonder Girls,F,35998.0,3.0,0.0,4.0,0.728,0.631,0.829,0.0,0.449,-2.635,0.0743,0.325,113.264,7.0
Nobody,Wonder Girls,F,212533.0,3.0,0.0,4.0,0.102,0.882,0.786,0.00142,0.0856,-7.383,0.075,0.95,130.978,31.0
I Tried,Wonder Girls,F,214728.0,7.0,1.0,4.0,0.369,0.534,0.482,1.94e-06,0.233,-8.442,0.17,0.503,169.618,12.0
Saying I Love You,Wonder Girls,F,234084.0,4.0,1.0,3.0,0.655,0.416,0.469,0.0,0.0967,-6.666,0.0342,0.147,99.685,15.0
Nobody - Rainstone Remix,Wonder Girls,F,271960.0,6.0,1.0,4.0,0.216,0.91,0.448,6.06e-05,0.0971,-9.127,0.067,0.515,91.99,14.0
Nobody - Inst.,Wonder Girls,F,213613.0,11.0,1.0,4.0,0.00181,0.848,0.872,0.856,0.0673,-7.12,0.0531,0.751,131.015,8.0
I Tried - Inst.,Wonder Girls,F,215800.0,7.0,1.0,4.0,0.0101,0.589,0.464,0.871,0.0971,-10.795,0.0382,0.52,85.002,5.0
Saying I Love You - Inst.,Wonder Girls,F,235080.0,4.0,1.0,4.0,0.44,0.281,0.352,0.882,0.0999,-12.726,0.0295,0.0971,66.68,5.0
Nobody (Rainstone Remix) - Inst.,Wonder Girls,F,270627.0,1.0,1.0,4.0,0.00351,0.858,0.473,0.89,0.0903,-11.995,0.0733,0.669,92.002,7.0
그려줘 DRAW ME,Wonder Girls,F,229887.0,9.0,1.0,4.0,0.293,0.633,0.555,0.0,0.112,-5.989,0.0319,0.578,76.032,26.0
그려줘 DRAW ME,Wonder Girls,F,229887.0,9.0,1.0,4.0,0.293,0.633,0.555,0.0,0.112,-5.989,0.0319,0.578,76.032,7.0
Why So Lonely,Wonder Girls,F,206707.0,7.0,1.0,4.0,0.111,0.634,0.726,0.0,0.111,-5.086,0.133,0.809,155.161,33.0
아름다운 그대에게 Beautiful Boy,Wonder Girls,F,191942.0,2.0,0.0,4.0,0.175,0.701,0.794,6.71e-06,0.0329,-3.825,0.0854,0.771,130.05,13.0
Sweet & Easy,Wonder Girls,F,201933.0,7.0,1.0,4.0,0.00971,0.694,0.872,0.0,0.272,-4.234,0.0781,0.659,126.06,16.0
Why So Lonely,Wonder Girls,F,206707.0,7.0,1.0,4.0,0.111,0.634,0.726,0.0,0.111,-5.086,0.133,0.809,155.161,58.0
아름다운 그대에게 Beautiful Boy,Wonder Girls,F,191942.0,2.0,0.0,4.0,0.175,0.701,0.794,6.71e-06,0.0329,-3.825,0.0854,0.771,130.05,35.0
Sweet & Easy,Wonder Girls,F,201933.0,7.0,1.0,4.0,0.00971,0.694,0.872,0.0,0.272,-4.234,0.0781,0.659,126.06,37.0
R.E.A.L,Wonder Girls,F,201440.0,9.0,0.0,4.0,0.00651,0.704,0.845,0.0,0.238,-2.07,0.142,0.675,171.919,4.0
Like This,Wonder Girls,F,194373.0,1.0,1.0,4.0,0.00985,0.697,0.854,0.0,0.102,-4.629,0.306,0.728,194.053,28.0
Hey Boy,Wonder Girls,F,182160.0,8.0,1.0,4.0,0.151,0.646,0.903,1.43e-05,0.329,-3.448,0.0683,0.883,88.969,4.0
Girlfriend,Wonder Girls,F,242493.0,7.0,1.0,4.0,0.252,0.435,0.587,0.0,0.0914,-4.368,0.239,0.699,75.15,10.0
Sorry,Wonder Girls,F,214013.0,6.0,1.0,3.0,0.417,0.418,0.775,0.0,0.23,-2.985,0.075,0.61,179.986,8.0
The DJ Is Mine,Wonder Girls,F,240293.0,4.0,0.0,4.0,0.246,0.676,0.924,0.0,0.572,-3.679,0.336,0.548,136.126,14.0
Like Money,Wonder Girls,F,210857.0,4.0,0.0,4.0,0.116,0.692,0.909,9.24e-05,0.383,-4.017,0.066,0.947,127.014,37.0
R.E.A.L,Wonder Girls,F,200348.0,9.0,0.0,4.0,0.005,0.712,0.846,0.0,0.159,-2.057,0.136,0.678,171.913,16.0
Like this,Wonder Girls,F,192738.0,1.0,1.0,4.0,0.0106,0.702,0.864,0.0,0.0747,-4.24,0.309,0.734,194.083,38.0
Hey Boy,Wonder Girls,F,180358.0,8.0,1.0,4.0,0.158,0.714,0.911,2.76e-05,0.332,-3.483,0.0732,0.888,89.023,15.0
Girlfriend,Wonder Girls,F,240693.0,7.0,1.0,4.0,0.242,0.63,0.584,0.0,0.115,-4.397,0.163,0.714,74.958,21.0
Sorry,Wonder Girls,F,212502.0,6.0,1.0,3.0,0.4,0.373,0.767,0.0,0.243,-2.972,0.0821,0.568,179.807,18.0
The DJ is Mine,Wonder Girls,F,240278.0,4.0,0.0,4.0,0.253,0.686,0.922,0.0,0.574,-3.679,0.301,0.576,135.974,28.0
R.E.A.L,Wonder Girls,F,200348.0,9.0,0.0,4.0,0.005,0.712,0.846,0.0,0.159,-2.057,0.136,0.678,171.913,3.0
Like this,Wonder Girls,F,192738.0,1.0,1.0,4.0,0.0106,0.702,0.864,0.0,0.0747,-4.24,0.309,0.734,194.082,16.0
Hey Boy,Wonder Girls,F,180358.0,8.0,1.0,4.0,0.158,0.714,0.911,2.76e-05,0.332,-3.483,0.0732,0.888,89.023,3.0
Girlfriend,Wonder Girls,F,240693.0,7.0,1.0,4.0,0.242,0.63,0.584,0.0,0.115,-4.397,0.163,0.714,74.958,5.0
Sorry,Wonder Girls,F,212502.0,6.0,1.0,3.0,0.4,0.373,0.767,0.0,0.243,-2.972,0.0821,0.568,179.807,4.0
The DJ Is Mine,Wonder Girls,F,240278.0,4.0,0.0,4.0,0.253,0.686,0.922,0.0,0.574,-3.679,0.301,0.576,135.974,6.0
Nobody (Eng Ver.),Wonder Girls,F,213869.0,3.0,0.0,4.0,0.318,0.901,0.772,0.0,0.0987,-5.428,0.0757,0.955,130.962,40.0
Nobody (Eng Ver.),Wonder Girls,F,213869.0,3.0,0.0,4.0,0.318,0.901,0.772,0.0,0.0987,-5.428,0.0757,0.955,130.962,29.0
"Anybody (Feat. Dynamic Duo, SAN E, J.Y. Park)",Wonder Girls,F,291919.0,6.0,1.0,4.0,0.2,0.82,0.642,0.0,0.0698,-8.915,0.363,0.719,91.993,4.0
Intro,Wonder Girls,F,35998.0,3.0,0.0,4.0,0.728,0.631,0.829,0.0,0.449,-2.635,0.0743,0.325,113.264,3.0
Nobody,Wonder Girls,F,212533.0,3.0,0.0,4.0,0.102,0.882,0.786,0.00142,0.0856,-7.383,0.075,0.95,130.978,14.0
I Tried,Wonder Girls,F,214728.0,7.0,1.0,4.0,0.369,0.534,0.482,1.94e-06,0.233,-8.442,0.17,0.503,169.618,4.0
Saying I Love You,Wonder Girls,F,234084.0,4.0,1.0,3.0,0.655,0.416,0.469,0.0,0.0967,-6.666,0.0342,0.147,99.685,3.0
Nobody - Rainstone Remix,Wonder Girls,F,271960.0,6.0,1.0,4.0,0.216,0.91,0.448,6.06e-05,0.0971,-9.127,0.067,0.515,91.99,16.0
Nobody (Inst.),Wonder Girls,F,213613.0,11.0,1.0,4.0,0.00181,0.848,0.872,0.856,0.0673,-7.12,0.0531,0.751,131.015,4.0
I Tried (Inst.),Wonder Girls,F,215800.0,7.0,1.0,4.0,0.0101,0.589,0.464,0.871,0.0971,-10.795,0.0382,0.52,85.002,3.0
Saying I Love You (Inst.),Wonder Girls,F,235080.0,4.0,1.0,4.0,0.44,0.281,0.352,0.882,0.0999,-12.726,0.0295,0.0971,66.68,3.0
Nobody (Inst.) - Rainstone Remix,Wonder Girls,F,270627.0,1.0,1.0,4.0,0.00351,0.858,0.473,0.89,0.0903,-11.995,0.0733,0.669,92.002,4.0
I Like That,Sistar,F,221371.0,7.0,0.0,4.0,0.0952,0.564,0.867,0.0,0.737,-3.137,0.0881,0.882,154.882,57.0
Come and get me,Sistar,F,186361.0,10.0,0.0,4.0,0.0353,0.808,0.846,0.0,0.0438,-3.373,0.0518,0.62,126.01,32.0
Say! Yes,Sistar,F,188836.0,7.0,1.0,4.0,0.174,0.674,0.839,0.0,0.634,-4.224,0.0965,0.8,95.043,44.0
Yeah Yeah,Sistar,F,229716.0,8.0,1.0,4.0,0.161,0.686,0.842,0.0,0.323,-3.26,0.0493,0.852,126.996,29.0
Say I Love You,Sistar,F,189548.0,0.0,1.0,4.0,0.268,0.533,0.654,0.0,0.162,-5.884,0.283,0.562,170.044,30.0
My sad lullaby,Sistar,F,205444.0,7.0,1.0,3.0,0.545,0.784,0.627,0.0,0.0532,-5.196,0.0375,0.732,107.985,30.0
I Like That (inst),Sistar,F,221371.0,7.0,0.0,4.0,0.000827,0.655,0.727,0.0374,0.366,-6.231,0.0569,0.883,155.048,21.0
Miss Sistar,Sistar,F,77453.0,7.0,0.0,4.0,0.257,0.73,0.97,0.0,0.15,-3.898,0.0635,0.698,115.034,21.0
Give it to me,Sistar,F,201352.0,7.0,0.0,4.0,0.187,0.716,0.943,0.0,0.599,-2.17,0.0411,0.961,136.04,54.0
The way you make me melt,Sistar,F,215745.0,5.0,0.0,4.0,0.0704,0.747,0.734,0.0,0.0847,-6.133,0.0439,0.863,103.986,29.0
Bad boy,Sistar,F,211566.0,7.0,1.0,4.0,0.254,0.861,0.788,0.0,0.0479,-4.52,0.0641,0.915,120.041,33.0
Summer time,Sistar,F,213159.0,7.0,1.0,4.0,0.102,0.763,0.785,0.0,0.0531,-2.295,0.0353,0.83,127.988,27.0
A week,Sistar,F,216294.0,0.0,1.0,4.0,0.0142,0.733,0.821,0.0,0.27,-5.349,0.0365,0.681,102.95,25.0
Crying,Sistar,F,203207.0,10.0,0.0,4.0,0.396,0.647,0.628,0.0,0.293,-4.834,0.0363,0.398,84.928,38.0
Hey you,Sistar,F,189780.0,6.0,1.0,4.0,0.00533,0.686,0.841,0.0,0.392,-3.731,0.115,0.905,159.919,22.0
If u want,Sistar,F,215589.0,5.0,1.0,4.0,0.137,0.768,0.663,0.0,0.112,-3.208,0.0639,0.924,96.035,24.0
Up and Down,Sistar,F,202527.0,8.0,1.0,4.0,0.00812,0.797,0.816,0.0,0.0805,-4.435,0.0737,0.899,123.969,27.0
Give it to me (inst),Sistar,F,201352.0,7.0,0.0,4.0,0.0177,0.755,0.906,0.91,0.143,-4.212,0.0398,0.951,136.043,20.0
Loving U,Sistar,F,217992.0,9.0,1.0,4.0,0.191,0.69,0.85,0.0,0.291,-2.057,0.0793,0.891,124.945,50.0
Holiday,Sistar,F,217313.0,6.0,1.0,4.0,0.145,0.734,0.896,0.0,0.0905,-2.655,0.075,0.834,139.962,26.0
Push Push (DJ Rubato Remix),Sistar,F,212558.0,9.0,1.0,4.0,0.00357,0.79,0.808,3.8e-06,0.0603,-5.04,0.0526,0.926,126.96,15.0
Alone (Smells Remix),Sistar,F,188918.0,11.0,0.0,4.0,0.167,0.79,0.705,0.0,0.251,-4.39,0.0776,0.764,114.958,24.0
Ma boy (Smells Remix),Sistar,F,216163.0,10.0,1.0,4.0,0.435,0.799,0.83,0.0,0.133,-3.689,0.176,0.845,89.94,20.0
How dare you (Demicat Remix),Sistar,F,265038.0,4.0,0.0,4.0,0.194,0.779,0.799,0.00391,0.368,-5.138,0.0348,0.693,128.001,14.0
So Cool (DJ Rubato Remix),Sistar,F,205140.0,6.0,0.0,4.0,0.0308,0.755,0.948,0.576,0.129,-4.109,0.0556,0.954,127.983,15.0
Come closer,Sistar,F,58227.0,7.0,1.0,4.0,0.0307,0.776,0.86,9e-06,0.0547,-3.712,0.0729,0.917,104.925,25.0
Alone,Sistar,F,206315.0,4.0,0.0,4.0,0.293,0.762,0.961,0.0,0.136,-2.33,0.0368,0.885,114.979,54.0
No mercy,Sistar,F,199027.0,0.0,0.0,4.0,0.0231,0.785,0.918,9.35e-06,0.0695,-1.73,0.26,0.599,128.121,28.0
Lead me,Sistar,F,221388.0,6.0,0.0,4.0,0.0539,0.722,0.765,0.0,0.156,-3.09,0.0466,0.589,98.013,35.0
Girls on top,Sistar,F,215876.0,2.0,1.0,4.0,0.0633,0.82,0.986,0.000292,0.0676,-1.999,0.157,0.901,129.952,24.0
I choose to love you,Sistar,F,210495.0,5.0,1.0,4.0,0.388,0.676,0.678,0.0,0.208,-4.039,0.0315,0.328,100.006,37.0
